DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T2,Departure,Domestic,412607
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T4,Departure,International,13271
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT,Departure,International,155227
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT,Arrival,International,232472
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T5,Departure,Domestic,380047
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T7,Departure,Domestic,222638
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T2,Arrival,Domestic,488718
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T1,Arrival,Domestic,226637
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T8,Arrival,International,2582
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,Domestic,67443
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T4,Arrival,International,70
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T4,Arrival,International,5010
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT,Arrival,Domestic,9244
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T7,Departure,International,41579
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,International,232
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT,Departure,Domestic,103734
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T2,Departure,International,36418
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T6,Departure,Domestic,173414
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T8,Departure,Domestic,79154
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T6,Arrival,Domestic,168948
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T4,Departure,International,16205
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,TBIT,Arrival,Domestic,23064
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T8,Departure,International,7613
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T6,Departure,International,56406
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,TBIT West Gates,Departure,International,78607
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T4,Arrival,Domestic,305702
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,TBIT West Gates,Arrival,Domestic,41966
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T6,Departure,Domestic,153846
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T5,Departure,Domestic,324390
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Miscellaneous Terminal,Departure,International,98
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T2,Departure,Domestic,409055
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T6,Arrival,International,26968
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T1,Arrival,Domestic,257390
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T7,Departure,International,22202
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T8,Arrival,Domestic,102251
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T2,Arrival,Domestic,486249
05/10/2022 06:01:09 AM,04/01/2022 12:00:00 AM,T8,Departure,International,9832
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,TBIT,Departure,International,155882
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T5,Departure,International,11822
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T1,Departure,Domestic,256173
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,TBIT West Gates,Departure,Domestic,41620
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,TBIT,Departure,Domestic,112401
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T7,Arrival,International,31361
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,TBIT West Gates,Arrival,International,94469
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T4,Departure,Domestic,289360
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T5,Arrival,Domestic,328861
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T8,Arrival,International,1125
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T5,Departure,International,8831
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,T6,Departure,International,72269
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T4,Arrival,Domestic,218336
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T2,Arrival,Domestic,376030
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,TBIT,Departure,International,208377
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Miscellaneous Terminal,Arrival,International,184
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T4,Departure,Domestic,196678
02/04/2022 08:32:57 AM,01/01/2022 12:00:00 AM,T2,Arrival,International,6382
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T7,Arrival,Domestic,217386
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Miscellaneous Terminal,Arrival,Domestic,42911
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T6,Arrival,International,16391
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T1,Arrival,Domestic,189825
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,TBIT,Departure,Domestic,98313
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T8,Departure,International,5700
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T4,Departure,International,13405
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T2,Departure,Domestic,320957
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T8,Arrival,Domestic,82488
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T1,Departure,Domestic,185211
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,T4,Departure,Domestic,245871
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Miscellaneous Terminal,Departure,International,138
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,TBIT West Gates,Arrival,International,96404
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,TBIT,Arrival,Domestic,21372
05/10/2022 06:01:09 AM,04/01/2022 12:00:00 AM,T1,Arrival,Domestic,298086
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T7,Departure,International,27678
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,TBIT West Gates,Arrival,Domestic,47284
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T2,Departure,International,25280
05/10/2022 06:01:09 AM,04/01/2022 12:00:00 AM,T1,Departure,Domestic,291554
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,T6,Departure,International,43942
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T7,Departure,Domestic,208298
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,TBIT West Gates,Departure,International,78991
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T4,Arrival,International,122
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T8,Departure,Domestic,80323
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,T6,Arrival,International,34804
05/10/2022 06:01:09 AM,04/01/2022 12:00:00 AM,T7,Arrival,Domestic,296991
02/07/2022 03:24:29 PM,01/01/2022 12:00:00 AM,TBIT West Gates,Departure,Domestic,44754
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,T7,Arrival,International,33939
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,T4,Arrival,Domestic,270232
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,T5,Departure,Domestic,256746
03/10/2022 06:01:10 AM,02/01/2022 12:00:00 AM,T7,Arrival,Domestic,233936
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T6,Departure,Domestic,184175
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,TBIT,Arrival,International,295595
12/10/2021 06:01:09 AM,11/01/2021 12:00:00 AM,T8,Departure,International,7114
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,TBIT,Departure,Domestic,118136
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,International,241
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T4,Departure,International,12339
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T7,Departure,Domestic,272513
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,T2,Departure,Domestic,437922
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,TBIT,Departure,International,176665
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T7,Arrival,Domestic,278658
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T4,Arrival,International,3148
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T4,Departure,Domestic,362831
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,TBIT,Arrival,International,279513
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T4,Arrival,Domestic,358797
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,T2,Arrival,International,1611
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,Domestic,75326
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T5,Departure,Domestic,443946
08/06/2021 09:46:34 AM,07/01/2021 12:00:00 AM,T1,Departure,Domestic,258962
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T5,Arrival,Domestic,441360
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T8,Departure,Domestic,94555
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T8,Departure,International,8587
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,T2,Departure,International,35349
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T8,Arrival,International,2330
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T7,Departure,International,46031
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T6,Arrival,Domestic,181192
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T6,Departure,International,53213
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,T2,Arrival,Domestic,536511
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,Domestic,74125
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,International,242
12/10/2021 06:01:09 AM,11/01/2021 12:00:00 AM,T1,Arrival,Domestic,260424
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,TBIT,Arrival,Domestic,29208
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,International,321
08/10/2021 12:12:41 PM,07/01/2021 12:00:00 AM,T6,Arrival,International,18712
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T5,Departure,International,21310
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T7,Arrival,International,52960
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,T8,Arrival,Domestic,87089
08/06/2021 09:46:34 AM,07/01/2021 12:00:00 AM,T1,Arrival,Domestic,259587
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,Domestic,65756
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T6,Arrival,Domestic,171317
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,T4,Arrival,International,301
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT West Gates,Departure,International,82289
09/10/2021 06:01:13 AM,08/01/2021 12:00:00 AM,T2,Arrival,Domestic,503272
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,TBIT West Gates,Departure,Domestic,43473
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,TBIT West Gates,Arrival,International,33048
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T5,Departure,International,12352
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,TBIT West Gates,Arrival,International,72405
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T8,Departure,International,4032
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,TBIT,Departure,Domestic,118467
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,TBIT West Gates,Departure,Domestic,20561
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T7,Departure,International,35531
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,T4,Departure,Domestic,294097
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,TBIT West Gates,Arrival,Domestic,43267
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,TBIT West Gates,Arrival,Domestic,21566
